Date;Tcapt;TcaptF;TbalS;TbalA;TalT;TpoeleB;TretC;TdepC;Text;Tcap2;TZ1;TZ2;TZ3;TZ4;T15;T16;Deb1;Deb2;Deb3;Deb4;Deb5;HC/HP;APP;SOL;BTC;C7;C1;C2;C3;V3VAB;V3VAS;S10;S11;V3VSS;V3VSB;chdr1;chdr2;Tcons1;Tcons2;Tcons3;Tcons4;TconsECS;POSV3VSOL;POSV3VAPP;POSV3VOPT;DemZ1;DemZ2;DemZ3;DemZ4;DemECS;MD;dtcapt3mn;TconPisc_dep;Tcaptcalc;anticc_chd;var_cir;demPisc_D;def_T;def;tfmoy;index1;index2;index3;index4;index5;index6;index1S;index2S;index3S;index4S;index5S;index6S;TZF_1;TZF_2;TZF_3;TZF_4;TZF_5;TZF_6;TZF_7;TZF_8;TZF_9;TZF_10;TZF_11;TZF_12;TZF_13;Electrova 1;Electrova 2;Electrova 3;Electrova 4;Electrova 5;Electrova 6;Electrova 7;Electrova 8;Electrova 9;Electrova 10;Electrova 11;Electrova 12;Electrova 13
05/12/23 15:21;11.1;12.4;12.7;14.2;17.1;null;11.5;11.8;8.0;12.6;10.9;null;null;null;null;12.3;0.0;0.0;0.0;0.0;0.0;0;92;0;0;0;0;0;0;100;0;0;0;0;0;100;0;0.0;0.0;0.0;0.0;44.0;0;98;26;0;0;0;1;2;-70.3;0.0;30.0;11.1;0.0;0.0;182;0;0;0;0.0;0.0;0.0;0.0;0.0;14.4;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;
05/12/23 15:21;11.2;12.4;12.7;14.2;17.1;null;12.1;26.0;8.0;12.6;10.9;null;null;null;null;12.3;0.0;0.0;0.0;0.0;0.0;0;100;0;0;0;0;0;0;0;0;0;0;0;100;100;0;0.0;0.0;0.0;0.0;44.0;0;100;50;0;0;0;1;2;-70.8;0.0;30.0;11.2;0.0;0.0;182;0;0;0;0.0;0.0;0.0;0.0;0.0;14.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;
05/12/23 15:22;11.2;12.4;12.7;14.2;17.1;null;19.0;42.2;8.0;12.6;10.9;null;null;null;null;12.3;0.0;0.0;0.0;0.0;0.0;0;100;0;0;0;0;0;0;0;0;0;0;0;100;100;0;0.0;0.0;0.0;0.0;44.0;50;100;50;0;0;0;1;2;-70.8;0.0;30.0;11.2;0.0;0.0;182;0;0;0;0.0;0.0;0.0;0.0;0.0;14.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;
05/12/23 15:22;11.2;12.4;12.7;14.3;17.1;null;23.4;48.0;8.0;12.6;10.9;null;null;null;null;12.3;0.0;0.0;0.0;0.0;0.0;0;100;0;0;0;0;0;0;0;0;0;0;0;100;100;0;0.0;0.0;0.0;0.0;44.0;98;100;50;0;0;0;1;2;-70.8;0.0;30.0;11.2;0.0;0.0;182;0;0;0;0.0;0.0;0.0;0.0;0.0;14.0;0.0;0.0;0.0;0.0;0.0;0.0;20.9;12.5;null;null;null;null;null;null;null;null;null;null;null;0;0;0;0;0;0;0;0;0;0;0;0;0;
05/12/23 15:23;11.2;12.4;12.7;14.4;17.1;null;26.5;51.3;8.0;12.6;10.9;null;null;null;null;12.3;0.0;0.0;0.0;0.0;0.0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0.0;0.0;0.0;0.0;44.0;100;100;50;0;0;0;1;2;-70.8;0.0;30.0;11.2;0.0;0.0;182;0;0;0;0.0;0.0;0.0;0.0;0.0;14.0;0.0;0.0;0.0;0.0;0.0;0.0;20.9;12.5;null;null;null;null;null;null;null;null;null;null;null;0;0;0;0;0;0;0;0;0;0;0;0;0;
05/12/23 15:23;11.2;12.4;12.7;14.4;17.1;null;28.2;52.7;8.0;12.6;10.9;null;null;null;null;12.3;0.0;0.0;0.0;0.0;0.0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0.0;0.0;0.0;0.0;44.0;100;100;50;0;0;0;1;2;-70.8;0.0;30.0;11.2;0.0;0.0;182;0;0;0;0.0;0.0;0.0;0.0;0.0;14.0;0.0;0.0;0.0;0.0;0.0;0.0;21;12.5;null;null;null;null;null;null;null;null;null;null;null;0;0;0;0;0;0;0;0;0;0;0;0;0;
05/12/23 15:24;11.2;12.4;12.7;14.4;17.1;null;29.2;53.2;8.0;12.6;10.9;null;null;null;null;12.3;0.0;0.0;0.0;0.0;0.0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0.0;0.0;0.0;0.0;44.0;100;100;50;0;0;0;1;2;-70.8;0.0;30.0;11.2;0.0;0.0;182;0;0;0;0.0;0.0;0.0;0.0;0.0;14.0;0.0;0.0;0.0;0.0;0.0;0.0;21;12.6;null;null;null;null;null;null;null;null;null;null;null;0;0;0;0;0;0;0;0;0;0;0;0;0;
05/12/23 15:24;11.2;12.5;12.7;14.7;17.1;null;29.9;53.5;8.0;12.6;10.9;null;null;null;null;12.3;0.0;0.0;0.0;0.0;0.0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0.0;0.0;0.0;0.0;44.0;100;100;50;0;0;0;1;2;-70.7;0.0;30.0;11.2;0.0;0.0;182;0;0;0;0.0;0.0;0.0;0.0;0.0;14.0;0.0;0.0;0.0;0.0;0.0;0.0;21;12.6;null;null;null;null;null;null;null;null;null;null;null;0;0;0;0;0;0;0;0;0;0;0;0;0;
05/12/23 15:25;11.2;12.7;12.7;15.0;17.1;null;30.0;53.7;8.0;12.6;10.9;null;null;null;null;12.3;0.0;0.0;0.0;0.0;0.0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0.0;0.0;0.0;0.0;44.0;100;100;50;0;0;0;1;2;-70.7;0.0;30.0;11.2;0.0;0.0;182;0;0;0;0.0;0.0;0.0;0.0;0.0;14.0;0.0;0.0;0.0;0.0;0.0;0.0;21;12.6;null;null;null;null;null;null;null;null;null;null;null;0;0;0;0;0;0;0;0;0;0;0;0;0;
05/12/23 15:25;11.3;13.0;12.7;15.2;17.1;null;30.2;53.9;8.0;12.6;10.9;null;null;null;null;12.3;0.0;0.0;0.0;0.0;0.0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0.0;0.0;0.0;0.0;44.0;100;100;50;0;0;0;1;2;-70.5;0.0;30.0;11.2;0.0;0.0;182;0;0;0;0.0;0.0;0.0;0.0;0.0;14.0;0.0;0.0;0.0;0.0;0.0;0.0;21;12.5;null;null;null;null;null;null;null;null;null;null;null;0;0;0;0;0;0;0;0;0;0;0;0;0;
